CODIGO MUESTRA;Código SNGM;Código Visita Terreno;Código Mapa;Nombre Punto de Agua;UTM E (WGS 84 18S);UTM N (WGS 84 18S);Altura GPS nav;Tipo;Categoría;Propietario o nombre de cuerpo de agua;FECHA;Hora;pH;Conductividad (uS/cm);Oxígeno disuelto (mg/l);Temperatura (°C);Temperatura (°K));ORP (mV);ORP (V);pe (25 °C);Eh SHE (mV);Eh SHE (V);pe SHE (25 °C);pe SHE (T°K);Observación;Informe Laboratorio;pH;Conductividad Laboratorio (uS/cm);Hidróxidos (mg/l);Carbonatos (mg/l);Bicarbonatos (mg/l);Ión Hidrógeno (mg/l);Fúor (mg/l);Calcio (mg/l);Magnesio (mg/l);Sodio (mg/l);Potasio (mg/l);Litio (mg/l);Sulfatos (mg/l);Cloruros (mg/l);Nitratos (mg/l);Alcalinidad Total (mg/l);Acidez (mg/l);Dureza Total (mg/l);Dureza carbonatosa (mg/l);Dureza no carbonatosa (mg/l);TSD (mg/l);TSD Evap, 103ºC (mg/l);Aluminio;Antimonio;Arsenico;Bario;Berilio;Boro;Cadmio;Cobalto;Cobre;Cromo;Estaño;Fosforo;Hierro;Manganeso;Molibdeno;Plata;Plomo;Selenio;Vanadio;Zinc;Mercurio (mg/l);COT (mg/l);Br (mg/l)   ;Rb (mg/l)   ;Sr (mg/l)   ;Y (mg/l)    ;Cs (mg/l)   ;Hf (mg/l)  ;Ta (mg/l)   ;Tl (mg/l)   ;Th (mg/l)   ;U (mg/l)    ;Ni (mg/l);SiO2 (mg/l);NH4 (mg/l);CO2 (mg/l);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD-RT-052;SNGM-PUD-0235;RT-145;235;;593640;5351051;5;Cuerpo de agua superficial;Estero;Estero Coipomó en puente Las Rosas;22-02-2019;;6.94;67;5.64;13.49;286.64;112.1;0.1121;1.8945;317.1;0.3171;5.3590;5.5743;Puente en reparación (pintura con Carbonileo  y aserrín en suspención en el agua),;2019-024;6.66;82;;0.0;20;;<0,03;4.0;2.2;4.5;1.5;<0,02;3.6;11;<3,0;17;;19;17;2.0;37;39;0.03;<0,010;<0,005;0.005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.40;0.014;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;<0,0003;;0.055;0.001;0.021;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,
PUD-RT-053;SNGM-PUD-0129;RT-147;;ND-1004-1320;591019;5348528;24;Noria;Noria;Elvis Gustavo Ross Biere /Cecilia Guineo;22-02-2019;;6.30;68;4.85;12.08;285.23;162.4;0.1624;2.7446;367.4;0.3674;6.2091;6.4905;;2019-024;6.36;83;;0.0;31;;0.03;6.0;1.7;3.9;1.5;<0,02;2.0;6.8;<3,0;25;;22;22;<1,0;38;40;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.086;0.008;<0,005;<0,002;<0,002;<0,005;0.007;0.010;<0,0003;;0.035;0.001;0.044;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,,
PUD-RT-054;SNGM-PUD-0016;FA-287;;;612726;5358816;58;Noria;Noria;Escuela Rural El Quilar;23-02-2019;;5.70;38;2.05;13.66;286.81;-5.1;-0.0051;-0.0862;199.9;0.1999;3.3783;3.5120;;2019-024;5.78;41;;0.0;8.9;;<0,03;3.0;1.0;1.3;1.3;<0,02;3.5;4.5;<3,0;7.0;;12;7.0;4.0;19;20;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.43;0.034;<0,005;<0,002;<0,002;<0,005;<0,003;0.017;<0,0003;;0.054;<0.001;0.012;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,
PUD-RT-055;SNGM-PUD-0015;RT-148;;;612724;5358813;57;Pozo;Pozo;Escuela Rural El Quilar;23-02-2019;;7.18;195;1.86;13.71;286.86;-124.6;-0.1246;-2.1057;80.4;0.0804;1.3588;1.4123;No se midió nivel porque se había medido unos días antes,;2019-024;7.05;212;;0.0;125;;0.07;18;9.0;6.2;2.1;<0,02;<1,0;6.8;<3,0;102;;82;82;<1,0;104;110;<0,020;<0,010;<0,005;0.006;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;7.0;0.24;<0,005;<0,002;<0,002;<0,005;<0,003;0.063;<0,0003;;0.060;<0.001;0.068;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,
PUD-RT-056;SNGM-PUD-0092;RT-149;;;608796;5357522;11;Cuerpo de agua superficial;Río;Puente Huillinco;23-02-2019;;7.45;98;6.33;12.41;285.56;102.7;0.1027;1.7356;307.7;0.3077;5.2001;5.4295;;2019-024;7.10;117;;0.0;62;;0.04;10.00;5.20;5.2;1.60;<0,02;1.2;6.8;<3,0;51;;46;51;<1,0;61;64;0.031;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.24;0.007;<0,005;<0,002;<0,002;<0,005;0.008;<0,010;<0,0003;;0.044;<0.001;0.044;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,,
PUD-RT-057;SNGM-PUD-0236;RT-150;236;;605936;5353980;0;Cuerpo de agua superficial;Río;Río Llanco;23-02-2019;18:00:00;7.26;4389;6.07;17.71;290.86;162.4;0.1624;2.7446;367.4;0.3674;6.2091;6.3648;Influencia de marea,;2019-024;6.97;4900;;0.0;43;;0.09;35;99;710;26;<0,02;198;1480;<3,0;35;;495;35;460;2569;2713;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;<0,0003;;5.97;0.009;0.589;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,
PUD-RT-058;SNGM-PUD-0237;RT-151;237;;597002;5356559;-15;Cuerpo de agua superficial;Río;;24-02-2019;10:30:00;6.75;4309;5.10;12.58;285.73;102.9;0.1029;1.7390;307.9;0.3079;5.2035;5.4298;Puente Mechaico (aguas abajo del puente en Ruta 5),;2019-024;6.67;4860;;0.0;27;;0.08;33;97;720;25;<0,02;201;1456;<3,0;22;;481;22;459;2544;2687;<0,020;<0,010;<0,005;0.017;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.31;0.13;<0,005;<0,002;<0,002;0.025;<0,003;0.017;<0,0003;;5.563;0.008;0.491;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,,,
PUD-RT-059;SNGM-PUD-0238;RT-152;238;;596175;5353643;-5;Cuerpo de agua superficial;Río;Río San Antonio;24-02-2019;11:35:00;6.99;2890;5.53;13.38;286.53;158.6;0.1586;2.6803;363.6;0.3636;6.1448;6.3942;Se muestreo desde embarcadero en casa particular, Influencia de marea,;2019-024;6.95;3400;;0.0;37;;0.07;26;67;480;21;<0,02;128;990;<3,0;31;;340;31;310;1731;1828;0.030;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.41;0.030;<0,005;<0,002;<0,002;0.050;<0,003;0.012;<0,0003;;4.401;0.006;0.395;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,,,,,,,
PUD-RT-060;SNGM-PUD-0204;RT-153;;;595985;5353698;26;Pozo;Pozo;Patricia Ojeda (Pozo No, 1);24-02-2019;;9.67;172;1.49;12.87;286.02;-351.5;-0.3515;-5.9404;-146.5;-0.1465;-2.4759;-2.5809;Es el primer pozo perforado en el predio en octubre de 2018, no se utiliza por mala calidad del agua y bajo caudal, No se hizo prueba de bombeo pero el caudal esperado era de 0,5 l/s, Hay un segundo pozo que es el que se utiliza, La muestra se sacó con ba;2019-024;8.32;203;;0.0;101;;0.14;7.3;2.2;32;2.1;<0,02;1.7;11;<3,0;87;;27;27;<1,0;108;115;<0,020;<0,010;<0,005;0.010;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.011;<0,003;<0,005;<0,002;<0,002;0.020;<0,003;0.018;<0,0003;;0.297;0.001;0.032;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,,
PUD-RT-061;SNGM-PUD-0229;RT-154;;;596000;5353702;31;Pozo;Pozo;Patricia Ojeda (Pozo No, 2);24-02-2019;;7.29;121;6.14;16.36;289.51;94.2;0.0942;1.5920;299.2;0.2992;5.0565;5.2075;Segundo pozo perforado en el predio en octubre 2018, Uso doméstico y cabañas, Derecho se encuentra en trámite, Las cribas se encuentran entre los 17 y 28 m, La muestra se sacó de la llave, aunque ya pasó por el estanque se encontraba sin cloración,;2019-024;7.07;144;;0.0;71;;0.06;12;5.7;5.2;1.9;<0,02;3.4;7.1;<3,0;58;;53;53;<1,0;71;75;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.31;0.14;<0,005;<0,002;<0,002;0.010;<0,003;0.079;<0,0003;;0.219;0.001;0.048;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.005;;;;,,,,,,,,,
