,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
206,CPO-PF-008,09-04-2008 0:00,Pozo,437052,6886650,205,1.5,75,20.5,2,38.5,0,134,20,0.73,0.005,7.65,2.134082865,,,426.57,672,Dulce moderadamente mineralizada,3.742701732,1.6868957,0.051153119,1.674655717,0.564131928,4.26800578,0,2.196105682,0.024191636,7.052435026,7.155406268,0.724749385,3.68,0.04,0.05,0.01,0.005,0.0025,0.01,0.001,0.25,0.001,0.001,0.0005,0.0015,0.025,0.093,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.0015,0.011,,,,
207,CPO-CE-017,28-08-2008 0:00,Pozo,372634,6968038,1246,18.2,342.5,62.5,5.5,302.5,0,158,189,2.559,0.005,7.2,12.97105975,,,2244.87,2510,Salobre,17.09167124,5.142974697,0.140671078,13.1580092,5.331046719,25.94114732,0,2.589438043,0.293525189,34.15515727,35.53332622,1.977613627,7.39,0.12,0.52,0.01,0.005,0.006,0.018,0.001,3.44,0.001,0.001,0.003,0.0015,0.025,0.0015,0.00015,0.014,0.0025,0.001,0.001,0.013,0.007,0.029,,,,
208,CPO-YP-030,04-12-2008 0:00,Pozo,401102,6905429,346,3.79,123.5,26.5,3,72.5,0,247,38,0.597,0.005,7.61,3.601915469,-11.43,-84.9,735.99,984,Dulce mineralizada,6.162982185,2.180621271,0.076729679,3.153572454,1.071850663,7.203560974,0,4.048045548,0.061124201,12.38458139,11.57390559,-3.383668587,7.9,0.15,0.58,0.01,0.005,0.0025,0.021,0.001,0.66,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.008,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
209,CPO-YP-031,04-12-2008 0:00,Pozo,401004,6905087,317,7.128,110,25.75,2.4,70,0,203,36,0.545,0.005,7.59,3.30002082,,,668.79,894,Dulce mineralizada,5.489295873,2.118905575,0.061383743,3.044828576,1.01543747,6.599794303,0,3.32693622,0.114958656,11.05712665,10.71441377,-1.574132447,6.93,0.16,0.67,0.01,0.005,0.0025,0.018,0.001,0.51,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.007,0.0025,0.001,0.004,0.0025,0.004,0.08,,,,
210,CPO-RT-051,03-12-2009 0:00,Pozo,370953,6968015,581,11.45,240,55,5.1,125,0,247,135,0.922,0.005,7.13,6.048303144,-10.47,-81.8,1275,1795,Salobre,11.97664554,4.525817733,0.130440454,5.437193886,3.807890513,12.09615297,0,4.048045548,0.184662825,20.13675185,22.07009761,4.58064458, ,0.3,0.53,0.01,0.005,0.005,0.016,0.001,1.24,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,,0.001,0.001,0.0025,0.004,0.023,,,,
211,CPO-PF-055,09-06-2008 0:00,Pozo,401010,6908172,330,9.4,142.5,26.5,2.3,60,0,204,40,0.422,0.005,7.41,3.435352904,,,711.79,1007,Dulce mineralizada,7.11113329,2.180621271,0.058826087,2.609853065,1.128263856,6.870448328,0,3.343325068,0.151600922,11.49363817,11.96043371,1.990253729,6.41,0.14,0.5,0.01,0.005,0.0025,0.015,0.001,0.64,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.007,0.0025,0.001,0.001,0.0025,0.0015,0.013,,,,
212,CPO-PF-013,10-04-2008 0:00,Pozo,433012,6889204,546,1.5,87.5,1.26,1.11,530,0,22,574,0.407,0.005,8.7,5.683947533,,,1751.53,2910,Salobre,4.366485354,0.10368237,0.028389981,23.05370208,16.19058633,11.36746905,0,0.360554664,0.024191636,27.94280168,27.55225978,-0.703741723,2.06,0.14,0.79,0.01,0.005,0.007,0.011,0.001,0.43,0.001,0.001,0.002,0.0015,0.025,0.014,0.00015,0.07,0.0025,0.001,0.001,0.0025,0.049,0.005,,,,
213,CPO-PF-015,10-04-2008 0:00,Pozo,427226,6890436,187,1.5,72,20.5,1.05,31,0,127,14,2.004,0.005,7.68,1.946699979,,,389.63,606,Dulce moderadamente mineralizada,3.592993662,1.6868957,0.026855388,1.348424084,0.39489235,3.893254053,0,2.081383743,0.024191636,6.393721782,6.655168834,2.003596015,1.58,0.04,0.6,0.01,0.005,0.0025,0.017,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.605,0.00015,0.006,0.0025,0.001,0.001,0.0025,0.0015,0.011,,,,
214,CPO-PF-005,09-04-2008 0:00,Pozo,437000,6886957,178,4.4,78,26,1.67,37.5,0,179,26,0.602,0.005,7.67,1.853008536,,,439.89,712,Dulce moderadamente mineralizada,3.892409801,2.139477474,0.042712855,1.631158166,0.733371506,3.705878189,0,2.933603859,0.070962134,7.443815688,7.705758295,1.729042729,2.9,0.06,0.05,0.047,0.005,0.0025,0.021,0.001,0.15,0.001,0.001,0.0005,0.0015,0.025,0.16,0.00015,0.005,0.0025,0.001,0.001,0.0025,0.0015,0.019,,,,
215,CPO-PF-009,09-04-2008 0:00,Pozo,437533,6887360,500,1.5,150,45.5,2.2,27.5,0,106,8,0.494,0.005,8.42,5.205080158,,,784.77,1050,Dulce mineralizada,7.485403463,3.744085579,0.056268431,1.196182655,0.225652771,10.40977019,0,1.737217927,0.024191636,12.39683253,12.48194013,0.34208922, ,0.04,0.09,0.023,0.005,0.0025,0.028,0.001,0.07,0.001,0.001,0.0005,0.0015,0.025,0.011,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
