,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
0,CPO-CE-058,27-01-2010 0:00,Pozo,343167,6975132,1184,8.4,260,110,7.1,360,0,361,193,1.1,0.005,7.45,12.32562981,,,2300.17,2910,Salobre,12.97469934,9.051635466,0.181593573,15.65911839,5.443873104,24.65033582,0,5.916374262,0.135473164,36.14605635,37.86704677,2.325250996,5.83,0.46,0.38,0.01,0.005,0.006,0.012,0.001,3.69,0.001,0.001,0.001,0.0015,0.025,0.0015,,0.0025,,0.001,0.001,0.012,0.004,0.005,,,,
1,CPO-CE-015,28-08-2008 0:00,Pozo,361253,6977648,834,27.7,260,72.5,5,187.5,0,322,159,1.853,0.005,7.24,8.682073704,,,1704.54,2000,Salobre,12.97469934,5.965850648,0.127882798,8.155790829,4.484848827,17.36349668,0,5.277209176,0.446738887,27.57229357,27.22422361,-0.635204534,5.64,0.28,0.42,0.01,0.005,0.0025,0.017,0.001,2.29,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.005,0.019,,,,
2,CPO-CE-007A,12-06-2008 0:00,Pozo,389733,6921199,407,17.5,167.5,36.25,2.9,77.5,0,221,65,0.493,0.005,0,4.236935249,-11.12,-85.7,883.77,1240,Dulce mineralizada,8.358700534,2.982925324,0.074172023,3.371060209,1.833428766,8.473552938,0,3.62193549,0.282235759,14.21115295,14.78685809,1.985326293, ,0.23,0.56,0.01,0.005,0.0025,0.018,0.001,0.86,0.001,0.001,0.001,0.0015,0.025,0.004,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
3,CPO-RT-027,01-10-2009 0:00,Pozo,389733,6921199,415,20.1,140,35.5,2.9,97.5,0,214,68,0.602,0.005,7.37,4.320216531,,,884.53,1240,Dulce mineralizada,6.986376566,2.921209628,0.074172023,4.241011231,1.918048555,8.640109261,0,3.507213552,0.324167929,14.3895393,14.22276945,-0.582860511,3.67,0.22,0.59,0.01,0.005,0.0025,0.018,0.001,0.6,0.001,0.001,0.0005,0.0015,0.025,0.003,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
4,CPO-PF-065,13-06-2008 0:00,Pozo,392383,6919737,436,22.9,180,38.75,2.7,77.5,0,215,90,0.622,0.005,7.29,4.538829898,,,954.18,1291,Dulce mineralizada,8.982484156,3.188644312,0.069056711,3.371060209,2.538593676,9.077319609,0,3.5236024,0.36932565,15.50884133,15.61124539,0.329060951,5.97,0.3,0.57,0.01,0.005,0.005,0.017,0.001,0.74,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.005,0.004,0.011,,,,
5,CPO-RC-030,11-12-2008 0:00,Pozo,368912,6970775,619,18.532,210,54.5,4.7,127.5,0,305,106,0.974,0.005,7.13,6.443889236,-10.67,-84.9,1291.98,1702,Salobre,10.47956485,4.484673935,0.12020983,5.545937764,2.989899218,12.8872955,0,4.998598753,0.298879605,21.17467308,20.63038638,-1.301963699, ,0.3,0.55,0.01,0.005,0.0025,0.013,0.001,1.22,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.013,0.0025,0.004,0.014,,,,
6,CPO-RC-023,05-12-2008 0:00,Pozo,392898,6918500,435,30.504,177.5,41.75,3.1,80,0,223,82,0.396,0.005,7.21,4.528419738,-11.15,-83.8,961.02,1361,Dulce mineralizada,8.857727432,3.435507097,0.079287335,3.479804087,2.312940904,9.056500069,0,3.654713187,0.491961119,15.51611528,15.85232595,1.071811854,7.49,0.24,0.69,0.01,0.005,0.006,0.019,0.001,1.36,0.001,0.001,0.002,0.0015,0.09,0.0015,0.00015,0.005,0.0025,0.001,0.061,0.009,0.004,0.167,,,,
7,CPO-RT-077,10-06-2010 0:00,Pozo,392898,6918500,470,24,160,41,3.6,80,0,208,87,0.8,0.005,7.26,4.892775349,,,969,1410,Dulce mineralizada,7.984430361,3.373791401,0.092075615,3.479804087,2.453973886,9.785183982,0,3.408880461,0.387066183,16.03510451,14.93010146,-3.568531244,6.28,0.2,0.46,0.01,0.005,0.0025,0.019,0.001,0.61,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0023,0.0025,,0.001,0.001,0.008,0.003,0.005,,,,
8,CPO-CE-014,27-08-2008 0:00,Pozo,367535,6971995,568,9.3,177.5,52.5,4,117.5,0,268,94,1.205,0.005,7.17,5.91297106,,,1156.15,1653,Salobre,8.857727432,4.320098745,0.102306238,5.110962253,2.651420061,11.82549894,0,4.392211364,0.149988146,19.01911851,18.39109467,-1.678749705,5.15,0.26,0.56,0.01,0.005,0.006,0.013,0.001,1.53,0.001,0.001,0.111,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
9,CPO-YP-040,08-12-2008 0:00,Pozo,382852,6931274,478,19.05,180,46.5,4.2,102.5,0,284,76,0.94,0.005,7.08,4.976056631,-10.95,-81.5,1046.83,1405,Salobre,8.982484156,3.826373174,0.10742155,4.458498987,2.143701326,9.951740305,0,4.654432938,0.307233783,17.05710835,17.37477787,0.922602708,6.5,0.26,0.68,0.01,0.005,0.0025,0.015,0.001,0.97,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.0025,0.005,0.039,,,,
10,CPO-RT-038,07-10-2009 0:00,Pozo,388875,6923438,429,17.2,153,35.3,3.1,118,0,222,68,0.7379,0.005,7.3,4.465958776,-11.32,-85.3,932.34,1273,Dulce mineralizada,7.635111533,2.904752109,0.079287335,5.132711028,1.918048555,8.931582826,0,3.638324339,0.277397431,14.76535315,15.751862,3.232630658,3.48,0.24,0.56,0.01,0.005,0.0025,0.017,0.001,0.91,0.001,0.001,0.001,0.0015,0.025,0.0015,,0.0025,0.0025,0.001,0.001,0.006,0.005,0.005,,,,
11,CPO-ML-036,16-10-2008 0:00,Noria,407831,7003267,470,1.5,152,0.785,1.66,91.5,0,32,63,0.781,0.005,7.65,4.892775349,-7,-62,796.21,1085,Dulce mineralizada,7.585208843,0.064595762,0.042457089,3.980025925,1.777015573,9.785183982,0,0.524443148,0.024191636,12.11083434,11.67228762,-1.843940934,7.2,0.04,0.42,0.039,0.005,0.0025,0.012,0.001,0.75,0.001,0.001,0.0005,0.0015,0.025,0.013,0.00015,0.024,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
12,CPO-RC-032,17-12-2008 0:00,Pozo,370852,6968442,581,12.05,202.5,56.25,4.6,105,0,261,111,0.988,0.005,7.26,6.048303144,-10.6,-80.9,1201.69,1635,Salobre,10.10529468,4.628677227,0.117652174,4.567242864,3.1309322,12.09615297,0,4.277489425,0.19433948,19.69891407,19.41886694,-0.715907503,5.46,0.3,0.55,0.01,0.005,0.006,0.015,0.001,1.26,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.0025,0.004,0.035,,,,
13,CPO-RC-031,12-12-2008 0:00,Pozo,374688,6952282,523,15.6,170,50,4.1,113.75,0,249,110,0.755,0.005,7.62,5.444513846,-10.78,-83.4,1109.88,1469,Salobre,8.483457258,4.114379757,0.104863894,4.947846436,3.102725603,10.88861962,0,4.080823245,0.251593019,18.32376149,17.65054735,-1.871374783,6.87,0.28,0.61,0.01,0.005,0.006,0.015,0.001,0.97,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.009,0.001,0.015,0.005,0.004,0.021,,,,
14,CPO-YP-058,15-05-2009 0:00,Pozo,392210,6920072,418,25.704,143.5,37,2.86,99,0,209,72,0.791,0.005,7.21,4.351447012,,,901.49,1276,Dulce mineralizada,7.16103598,3.04464102,0.07314896,4.306257558,2.03087494,8.702567882,0,3.42526931,0.414547883,14.57326001,14.58508352,0.040549298,4.25,0.22,0.75,0.01,0.005,0.0025,0.016,0.001,0.03,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.006,0.003,0.005,,,,
15,CPO-RC-006,05-09-2008 0:00,Pozo,391067,6921039,518,26.2,177.5,43.75,3,105,0,231,98,0.614,0.005,7.23,5.392463044,,,1085.69,1043,Salobre,8.857727432,3.600082288,0.076729679,4.567242864,2.764246447,10.78452192,0,3.785823974,0.42254725,17.75713959,17.10178226,-1.880027536,,0.24,0.54,0.01,0.005,0.0025,0.016,0.001,0.92,0.001,0.001,0.001,0.0015,0.025,0.004,0.00015,0.0025,0.0025,0.001,0.001,0.009,0.004,0.021,,,,
16,CPO-CE-011,26-08-2008 0:00,Pozo,353693,6978317,773,22.2,222.5,67.5,10,252.5,3,266,215,1.325,0.005,7.13,8.047053925,,,1697.63,2440,Salobre,11.10334847,5.554412672,0.255765596,10.98313165,6.064418225,16.09350472,0.099984669,4.359433667,0.35803622,26.9753775,27.89665839,1.678962468,4.19,0.29,0.48,0.01,0.005,0.006,0.012,0.001,2.17,0.001,0.001,0.002,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.006,0.005,0.013,,,,
17,CPO-CE-049,22-01-2010 0:00,Pozo,354454,6979655,917,50,332.5,97.5,7.3,222.5,0,309,233,1.5,0.005,7.22,9.54611701,,,2013.87,2370,Salobre,16.59264434,8.023040527,0.186708885,9.678205117,6.57213696,19.09151854,0,5.064154147,0.806387882,31.53419752,34.48059887,4.463243861,6.67,0.44,0.47,0.01,0.005,0.005,0.016,0.001,2.6,0.001,0.001,0.001,0.0015,0.025,0.003,,0.0025,,0.001,0.001,0.011,0.004,0.021,,,,
18,CPO-RT-061,02-06-2010 0:00,Pozo,354454,6979655,1070,53.1,340,100,7.4,220,0,368,282,1.8,0.005,7.25,11.13887154,,,2254,2880,Salobre,16.96691452,8.228759515,0.189266541,9.569461239,7.954260183,22.27690821,0,6.031096201,0.856383931,37.11864853,34.95440181,-3.002851563,7.46,0.4,0.82,0.01,0.005,0.0025,0.016,0.001,1.47,0.001,0.001,0.001,0.0015,0.025,0.0015,0.0013,0.0025,,0.001,0.001,0.01,0.004,0.052,,,,
19,CPO-CE-057,27-01-2010 0:00,Pozo,341233,6974418,1587,6.3,340,110,9.2,515,0,384,256,1.4,0.005,7.01,16.52092442,,,3013.4,3780,Salobre,16.96691452,9.051635466,0.235304348,22.40123881,7.220888677,33.0406106,0,6.293317775,0.101604873,46.65642192,48.65509314,2.096988196,3.31,0.44,0.33,0.021,0.005,0.006,0.015,0.001,5.14,0.001,0.001,0.0005,0.0015,0.025,0.0015,,0.0025,,0.001,0.001,0.011,0.004,0.005,,,,
20,CPO-CE-055,27-01-2010 0:00,Pozo,354560,6980473,1162,52,362.5,100,7.2,262.5,0,348,226,1.5,0.005,7.06,12.09660629,,,2343.2,2990,Salobre,18.08972504,8.228759515,0.184151229,11.41810716,6.374690785,24.19230593,0,5.703319233,0.838643398,37.10895935,37.92074294,1.08194964,6.85,0.4,0.36,0.01,0.005,0.006,0.017,0.001,2.78,0.001,0.001,0.002,0.0015,0.025,0.0015,,0.0025,,0.001,0.001,0.014,0.005,0.005,,,,
21,CPO-RT-064,03-06-2010 0:00,Pozo,354560,6980473,1244,45.6,380,102,7.4,255,0,349,248,1.7,0.005,7.07,12.95023943,,,2454,3050,Salobre,18.96302211,8.393334705,0.189266541,11.09187553,6.995235906,25.89950824,0,5.719708082,0.735425749,39.34987798,38.63749888,-0.913454366,7.66,0.4,0.25,0.01,0.005,0.005,0.016,0.001,1.97,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0046,0.0025,,0.001,0.001,0.011,0.004,0.005,,,,
22,CPO-YP-033,04-12-2008 0:00,Pozo,394764,6916888,527,32.45,212.5,48.25,3.6,100,0,274,96,0.878,0.005,7.26,5.486154487,-11.02,-81.2,1155.88,1525,Salobre,10.60432157,3.970376466,0.092075615,4.349755109,2.707833254,10.97189778,0,4.490544454,0.523345736,18.69362123,19.01652876,0.85628812,5.38,0.26,0.68,0.01,0.005,0.0025,0.018,0.001,0.97,0.001,0.001,0.002,0.0015,0.025,0.0015,0.00015,0.005,0.0025,0.001,0.009,0.011,0.004,0.005,,,,
23,CPO-CE-067,27-04-2010 0:00,Pozo,339862,6972842,1362,3.9,335,85,8.9,350,0,311,266,1.496,0.005,7.12,14.17863835,,,2564.58,3340,Salobre,16.71740107,6.994445587,0.22763138,15.22414288,7.502954641,28.35621401,0,5.096931844,0.062898255,41.01899875,39.16362092,-2.313940152,3.38,0.32,0.29,0.01,0.005,0.0025,0.015,0.001,3.77,0.001,0.001,0.0005,0.0015,0.025,0.007,0.00015,0.0025,,0.001,0.001,0.006,0.003,0.005,,,,
24,CPO-PF-072,17-06-2008 0:00,Pozo,339141,6974073,1352,5.8,327.5,100,7.3,440,0,341,301,1.146,0.005,7.16,14.07453675,,,2701.39,3570,Salobre,16.34313089,8.228759515,0.186708885,19.13892248,8.490185515,28.1480186,0,5.588597295,0.093540994,42.32034241,43.89752177,1.829295332,5.84,0.37,0.33,0.01,0.005,0.0025,0.013,0.001,4.74,0.001,0.001,0.002,0.0015,0.025,0.01,0.00015,0.0025,0.0025,0.001,0.001,0.008,0.003,0.024,,,,
25,CPO-ML-037,16-10-2008 0:00,Pozo,411012,7000588,326,16.41,126,3.35,1.59,93.5,0,99,54,0.711,0.005,7.76,3.393712263,-6.69,-57.2,670.84,1028,Dulce mineralizada,6.287738909,0.275663444,0.04066673,4.067021027,1.523156205,6.787170166,0,1.622495989,0.264656503,10.19747886,10.67109011,2.269495558,6.23,0.02,0.73,0.032,0.005,0.006,0.014,0.001,0.71,0.001,0.001,0.002,0.0015,0.025,0.007,0.00015,0.014,0.0025,0.001,0.001,0.0025,0.012,0.005,,,,
26,CPO-RT-031,03-10-2009 0:00,Pozo,411020,7000584,435,19.1,155,4.5,1.65,128,0,80,59,0.9108,0.005,7.47,4.528419738,-6.62,-56.4,842.04,1120,Dulce mineralizada,7.734916912,0.370294178,0.042201323,5.567686539,1.664189187,9.056500069,0,1.31110787,0.308040171,12.3398373,13.71509895,5.278315183,3.47,0.04,0.79,0.01,0.005,0.0025,0.013,0.001,0.16,0.001,0.001,0.003,0.0015,0.025,0.0015,,0.015,0.0025,0.001,0.001,0.0025,0.009,0.011,,,,
27,CPO-RT-036,03-10-2009 0:00,Pozo,411020,7000584,437,18.9,153,4.5,1.53,125,0,80,59,0.691,0.005,7.47,4.549240058,,,838.65,1115,Dulce mineralizada,7.635111533,0.370294178,0.039132136,5.437193886,1.664189187,9.098139149,0,1.31110787,0.304814619,12.37825083,13.48173173,4.267137088,3.47,0.04,0.84,0.01,0.005,0.0025,0.013,0.001,0.11,0.001,0.001,0.003,0.0015,0.025,0.004,,0.015,0.0025,0.001,0.001,0.0025,0.009,0.01,,,,
28,CPO-PF-053,06-06-2008 0:00,Pozo,403623,6898306,160,16.3,104.5,18,1.54,30.5,0,232,21,0.368,0.005,7.27,1.665625651,,,465.6,709,Dulce moderadamente mineralizada,5.214831079,1.481176713,0.039387902,1.326675308,0.592338524,3.331126462,0,3.802212822,0.26288245,7.988560258,8.062071002,0.457992851,7.35,0.02,0.31,0.01,0.005,0.0025,0.024,0.001,0.14,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.0015,0.017,,,,
29,CPO-PF-054,09-06-2008 0:00,Pozo,376863,6947728,514,19.8,202.5,52.5,4.1,107.5,0,254,117,0.667,0.005,7.25,5.350822403,,,1143.58,1567,Salobre,10.10529468,4.320098745,0.104863894,4.675986742,3.300171778,10.70124376,0,4.162767486,0.319329601,18.48351263,19.20624406,1.917580518,7.84,0.26,0.57,0.01,0.005,0.005,0.017,0.001,1.12,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.019,,,,
30,CPO-RT-068,05-06-2010 0:00,Pozo,346405,6976070,854,12.7,230,70,6.6,170,0,309,145,1.1,0.005,7.41,8.89027691,,,1641,2230,Salobre,11.47761864,5.76013166,0.168805293,7.394583685,4.089956477,17.77988749,0,5.064154147,0.204822522,27.13882064,24.80113928,-4.500737696,5.84,0.4,0.2,0.01,0.005,0.007,0.013,0.001,1.33,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0005,0.0025,,0.001,0.001,0.0025,0.004,0.005,,,,
31,CPO-RT-069,05-06-2010 0:00,Pozo,346248,6976409,1072,10.4,270,92,7,210,0,348,174,1.2,0.005,7.05,11.15969186,,,2007,2610,Salobre,13.47372623,7.570458753,0.179035917,9.134485728,4.907947773,22.3185473,0,5.703319233,0.16772868,33.09754298,30.35770663,-4.317745758,2.38,0.4,0.23,0.01,0.005,0.005,0.011,0.001,1.9,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0013,0.0025,,0.001,0.001,0.009,0.003,0.005,,,,
32,CPO-RT-070,07-06-2010 0:00,Pozo,358592,6979311,1074,82.4,380,110,7.8,165,0,367,309,1.7,0.005,6.98,11.18051218,,,2309,3030,Salobre,18.96302211,9.051635466,0.199497165,7.177095929,8.715838286,22.36018638,0,6.014707353,1.32892723,38.41965924,35.39125067,-4.102928119,5.71,0.4,0.25,0.01,0.005,0.0025,0.023,0.001,1.24,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0013,0.0025,,0.001,0.001,0.006,0.003,0.005,,,,
33,CPO-RC-085,23-09-2010 0:00,Pozo,370006,6969907,672,12.3,239,65.5,4.96,128,0,274,188,1.8,0.005,7.16,6.995627733,,,1445,1900,Salobre,11.92674285,5.389837482,0.126859736,5.567686539,5.302840122,13.99073114,0,4.490544454,0.198371419,23.98248714,23.01112661,-2.067005387,7.65,0.3,0.5,0.01,0.005,0.0025,0.016,0.001,0.93,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,,0.001,0.001,0.006,0.004,0.023,,,,
34,CPO-RT-037,07-10-2009 0:00,Pozo,386971,6924971,475,11.6,173,38.5,3.6,115,0,252,77,0.7997,0.005,7,4.94482615,-11.04,-83.6,1017.61,1351,Salobre,8.633165328,3.168072413,0.092075615,5.002218375,2.171907922,9.889281684,0,4.12998979,0.187081989,16.37826139,16.89553173,1.554587851,3.93,0.24,0.61,0.01,0.005,0.0025,0.019,0.001,0.82,0.001,0.001,0.0005,0.0015,0.025,0.0015,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.01,,,,
35,CPO-YP-067,20-05-2009 0:00,Pozo,386971,6924971,457,12.426,164,39,3.58,91.5,0,248,62,0.842,0.005,7.08,4.757443265,,,951.96,1313,Dulce mineralizada,8.18404112,3.209216211,0.091564083,3.980025925,1.748808976,9.514529957,0,4.064434396,0.200403516,15.52817685,15.46484734,-0.204334716,5.05,0.24,0.84,0.01,0.005,0.0025,0.018,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.003,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.003,0.005,,,,
36,CPO-YP-065,19-05-2009 0:00,Pozo,401565,6904998,368,1.5,137.8,26,3.26,52.3,0,161,40,0.79,0.005,7.49,3.830938996,,,707.47,1016,Dulce mineralizada,6.876590648,2.139477474,0.083379584,2.274921922,1.128263856,7.661590863,0,2.638604588,0.024191636,11.45265094,11.37436963,-0.342932686,6.75,0.16,0.71,0.01,0.005,0.0025,0.027,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.0025,0.0015,0.013,,,,
37,CPO-RT-079,10-06-2010 0:00,Pozo,400663,6909648,638,29.19,210,50,3.8,90,0,176,131,0.96,0.005,7.26,6.641682282,,,1239,1961,Salobre,10.47956485,4.114379757,0.097190926,3.914779598,3.695064128,13.28286677,0,2.884437313,0.470769246,20.33313745,18.60591513,-4.43570711,4.36,0.2,0.49,0.037,0.005,0.0025,0.019,0.001,0.61,0.001,0.001,0.001,0.0015,0.025,0.0015,0.0018,0.006,,0.001,0.001,0.011,0.0015,0.005,,,,
38,CPO-YP-069,19-05-2009 0:00,Pozo,400663,6909648,634,35.546,220.8,51.5,2.4,113,0,173,133,1.247,0.005,7.26,6.600041641,,,1276.26,1715,Salobre,11.0185139,4.23781115,0.061383743,4.915223273,3.75147732,13.19958861,0,2.835270768,0.573277273,20.35961397,20.23293206,-0.312081691,5.7,0.26,0.7,0.01,0.005,0.0025,0.018,0.001,0.03,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.014,0.0015,0.005,,,,
39,CPO-YP-063,18-05-2009 0:00,Pozo,399687,6910778,295,11.787,100,28.3,2.38,74.5,0,196,39,0.608,0.005,7.48,3.070997293,,,647.59,934,Dulce mineralizada,4.990268975,2.328738943,0.060872212,3.240567556,1.100057259,6.141764414,0,3.212214281,0.190097879,10.64413383,10.62044769,-0.111387793,5.35,0.22,0.89,0.01,0.005,0.0025,0.016,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.007,0.0025,0.001,0.001,0.0025,0.004,0.022,,,,
40,CPO-RT-045,09-10-2009 0:00,Pozo,400331,6910245,694,54.9,280,57,3.6,125,0,167,176,1.167,0.005,7.39,7.22465126,-10.66,-82.8,1473.31,1940,Salobre,13.97275313,4.690392923,0.092075615,5.437193886,4.964360965,14.44876103,0,2.736937678,0.885413895,23.03547357,24.19241556,2.449700821,4.74,0.28,0.61,0.024,0.005,0.0025,0.023,0.001,0.73,0.001,0.001,0.001,0.0015,0.025,0.0015,,0.005,0.0025,0.001,0.001,0.018,0.003,0.005,,,,
41,CPO-RT-078,10-06-2010 0:00,Pozo,400331,6910245,735,48,270,60,4.2,110,0,166,180,1.2,0.005,7.18,7.651467833,,,1489,1961,Salobre,13.47372623,4.937255709,0.10742155,4.78473062,5.077187351,15.30236219,0,2.72054883,0.774132367,23.87423073,23.30313411,-1.210530987,4.61,0.2,0.49,0.03,0.005,0.0025,0.022,0.001,0.71,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.002,0.0025,,0.001,0.001,0.018,0.0015,0.015,,,,
42,CPO-YP-066,19-05-2009 0:00,Pozo,400331,6910245,626,46.383,243.3,54.5,3.56,90,0,169,159,1.346,0.005,7.47,6.516760358,,,1306.46,1783,Salobre,12.14132442,4.484673935,0.091052552,3.914779598,4.484848827,13.03303228,0,2.769715375,0.748053783,21.03565027,20.6318305,-0.969148499,7.5,0.28,0.82,0.01,0.005,0.0025,0.02,0.001,0.03,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.005,0.0025,0.001,0.001,0.015,0.0015,0.005,,,,
43,CPO-YP-061,16-05-2009 0:00,Pozo,391194,6920518,390,1.5,87.3,36.3,3.12,94.8,0,74,73,2.894,0.005,7.42,4.059962523,,,721.55,1048,Dulce mineralizada,4.356504816,2.987039704,0.079798866,4.123567843,2.059081537,8.119620751,0,1.21277478,0.024191636,11.4156687,11.54691123,0.571549559,1.08,0.22,0.59,0.01,0.005,0.0025,0.011,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.638,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
44,CPO-YP-059,15-05-2009 0:00,Pozo,391621,6920259,598,33.182,224,49,4.06,116.5,0,275,105,1.257,0.005,7.05,6.225275869,,,1265.87,1737,Salobre,11.17820251,4.032092162,0.103840832,5.067464702,2.961692621,12.45008515,0,4.506933302,0.535151254,20.45386233,20.3816002,-0.176959252,3.11,0.3,0.76,0.01,0.005,0.0025,0.015,0.001,0.03,0.001,0.001,0.001,0.0015,0.025,0.009,0.00015,0.0025,0.0025,0.001,0.001,0.021,0.003,0.005,,,,
45,CPO-RT-041,09-10-2009 0:00,Pozo,415387,6884157,204,3.3,99,16,2.2,30.5,0,198,13,0.5515,0.005,7.32,2.123672705,-12.5,-89.7,466.14,699,Dulce moderadamente mineralizada,4.940366286,1.316601522,0.056268431,1.326675308,0.366685753,4.247186239,0,3.244991978,0.0532216,7.91208557,7.639911547,-1.750090491,8.13,0.1,0.67,0.01,0.005,0.0025,0.037,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,,0.011,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
46,CPO-YP-056,13-05-2009 0:00,Pozo,415387,6884157,194,1.5,89.5,16,2.24,49,0,205,13,0.543,0.005,7.5,2.019571101,,,465.47,697,Dulce moderadamente mineralizada,4.466290733,1.316601522,0.057291493,2.131380003,0.366685753,4.038990835,0,3.359713916,0.024191636,7.789582141,7.971563752,1.154621703,9.78,0.1,0.78,0.01,0.005,0.0025,0.036,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.011,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
47,CPO-YP-055,13-05-2009 0:00,Pozo,405895,6896747,230,19.055,99,20.5,2.22,46,0,187,19,0.51,0.005,7.55,2.394336873,,,527.02,763,Dulce mineralizada,4.940366286,1.6868957,0.056779962,2.00088735,0.535925331,4.788494289,0,3.064714646,0.307314422,8.696448688,8.684929299,-0.066274317,7.75,0.1,0.77,0.01,0.005,0.0025,0.024,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.01,0.0025,0.001,0.001,0.0025,0.003,0.005,,,,
48,CPO-YP-054,13-05-2009 0:00,Pozo,405154,6897234,493,1.5,143.5,38,4.26,132.5,0,246,65,0.879,0.005,7.23,5.132209036,,,999.89,1394,Dulce mineralizada,7.16103598,3.126928616,0.108956144,5.763425519,1.833428766,10.26403341,0,4.0316567,0.024191636,16.15331051,16.16034626,0.021773288,6.8,0.42,0.86,0.01,0.005,0.008,0.016,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.004,0.00015,0.005,0.0025,0.001,0.001,0.0025,0.005,0.005,,,,
49,CPO-PF-061,11-06-2008 0:00,Pozo,382231,6933597,471,17.4,206.25,47,3.8,96.25,0,255,122,0.604,0.005,7.22,4.903185509,,,1090.64,1560,Salobre,10.29242976,3.867516972,0.097190926,4.186639292,3.44120476,9.806003523,0,4.179156335,0.280622983,17.7069876,18.44377695,2.038101713,8.37,0.24,0.54,0.01,0.005,0.0025,0.016,0.001,0.97,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.012,0.004,0.01,,,,
50,CPO-PF-062,11-06-2008 0:00,Pozo,382353,6932992,468,15.2,192.5,48.75,3.7,90,0,259,97,0.688,0.005,7.26,4.871955028,,,1043.18,1489,Salobre,9.606267778,4.011520263,0.094633271,3.914779598,2.73603985,9.743544902,0,4.244711728,0.245141916,16.9694384,17.62720091,1.901232393,8.11,0.23,0.55,0.01,0.005,0.0025,0.017,0.001,0.9,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.007,0.003,0.005,,,,
51,CPO-PF-063,12-06-2008 0:00,Pozo,393749,6917726,453,30.3,187.5,39.75,3,77.5,0,205,84,0.612,0.005,7.35,4.715802623,,,976.54,1342,Dulce mineralizada,9.356754329,3.270931907,0.076729679,3.371060209,2.369354097,9.431251796,0,3.359713916,0.488671057,15.64899087,16.07547612,1.344341762,6.76,0.23,0.62,0.01,0.005,0.0025,0.019,0.001,0.76,0.001,0.001,0.002,0.0015,0.025,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.007,0.004,0.026,,,,
