Nombre,CÓDIGO SNGM BBDD,Fecha,pH,SALINIDAD,Deuterio,O18,O2,Ca,Mg,Na,K,Li,CO3,HCO3,ION H+,SO4,Cl,NO3,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cu,Cr,Sn,P,Fe,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Dureza T,Dureza Carb,Dureza No Carb,TDS 103,COTA,Este,Norte,Nombre largo,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,Ferrico,Ferroso,T,ORP,Fuente,Unnamed: 0,Hora,Ab,Va,Br   ,Rb   ,Sr   ,Cs   ,Hf   ,Ta   ,Th   ,U    ,  Ga  ,  Ge  ,Tl   ,Si,eH,Do,ppmDO,Exceso Deuterio
CPO-RT-049,SNGM-CPO-259,13-10-2009,7.07,2,-79.3,-10.09,2.06,355.0,135.0,475.0,8.25,0.5,0,397.0,,1643.0,286.0,13.0,0.5,0.01,0.005,0.007,0.015,0.001,4.92,0.001,0.001,0.005,0.002,0.0015,0.025,1.572,0.0015,,0.0025,0.0025,0.001,0.001,0.024,0.004,0.023,1441.01,325.5,1115.51,3285.86,208.0,343924.0,6975789.0,Fundo San Pedro; pozo Sevilla n° 2,3890,Pozo,3111.61,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-074,SNGM-CPO-263,18-06-2008,7.22,1.4,,,6.3,302.5,97.5,292.5,6.8,0.43,0,325.0,,1131.0,223.0,7.52,0.39,0.01,0.005,0.0025,0.013,0.001,2.99,0.001,0.001,0.005,0.002,0.0015,0.025,0.929,0.168,0.00015,0.008,0.0025,0.001,0.001,0.0025,0.005,0.011,1155.78,266.14,889.64,2345.42,227.0,348714.0,6975741.0,Juan Díaz; pozo no individualizado,2960,Pozo,2221.04,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-075,SNGM-CPO-266,18-06-2008,7.45,1.4,,,9.27,327.5,82.5,241.25,6.5,0.35,12,150.0,,1116.0,213.0,27.0,0.41,0.01,0.005,0.006,0.014,0.001,2.41,0.001,0.001,0.005,0.002,0.0015,0.025,0.998,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.015,0.005,0.005,1156.45,143.12,1013.34,2217.41,242.0,351213.0,6977796.0,Fundo San Juan,2450,Pozo,2099.82,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-076,SNGM-CPO-268,18-06-2008,7.14,1.4,,,6.79,342.5,100.0,242.5,7.1,0.42,6,346.0,,1095.0,220.0,64.56,0.39,0.01,0.005,0.0025,0.015,0.001,2.4,0.001,0.001,0.005,0.002,0.0015,0.651,1.045,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.014,0.004,0.014,1265.86,292.2,973.66,2371.1,271.0,354116.0,6979781.0,Parcela las Palmeras,2430,Pozo,2245.36,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-078,SNGM-CPO-270,19-06-2008,6.88,1.9,,,9.63,407.5,130.0,325.0,7.1,0.41,16,327.0,,1406.0,287.0,59.29,0.34,0.01,0.005,0.0025,0.019,0.001,3.32,0.001,0.001,0.005,0.003,0.0015,0.025,1.63,0.01,0.00015,0.0025,0.0025,0.001,0.001,0.011,0.004,0.005,1551.43,292.05,1256.38,2956.57,293.0,357973.0,6980692.0,Agrícola Cristana,3190,Pozo,2799.78,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-079,SNGM-CPO-272,19-06-2008,6.96,3.7,,,7.41,770.0,185.0,595.0,10.7,0.59,0,325.0,,1661.0,1472.0,29.85,0.4,0.01,0.005,0.006,0.036,0.001,3.16,0.001,0.001,0.005,0.011,0.0015,0.025,3.188,0.0015,0.00015,0.0025,0.008,0.001,0.001,0.043,0.003,0.012,2682.1,266.44,2415.66,5157.61,412.0,369762.0,6968910.0,Sr. Callegari; pozo no individualizado,6220,Pozo,4884.1,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-080,SNGM-CPO-273,20-06-2008,7.65,3.4,,,5.82,635.0,140.0,855.0,18.3,0.35,19,283.0,,2519.0,779.0,1.5,0.32,0.01,0.005,0.122,0.04,0.001,4.43,0.001,0.001,0.005,0.005,0.0015,0.226,2.362,0.023,0.00015,0.008,0.007,0.001,0.001,0.0025,0.0015,0.019,2160.18,262.4,1897.78,5389.63,120.0,326805.0,6974215.0,Hacienda María Isabel; pozo n° 4 ,5450,Pozo,5103.81,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-081,SNGM-CPO-274,20-06-2008,7.09,0.9,,,7.21,250.0,65.0,160.0,4.7,0.27,11,253.0,,700.0,159.0,65.0,0.39,0.01,0.005,0.0025,0.014,0.001,1.55,0.001,0.001,0.005,0.002,0.0015,0.025,0.969,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.005,0.004,0.005,891.11,225.95,665.16,1626.28,322.0,361772.0,6976692.0,Unifrutti; pozo n° 1,1855,Pozo,1540.04,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-050,SNGM-CPO-274,13-10-2009,7.08,0.9,-82.8,-10.53,6.49,225.0,65.0,200.0,5.6,0.29,0,264.0,,720.0,177.0,14.0,0.39,0.01,0.005,0.005,0.015,0.001,1.4,0.001,0.001,0.005,0.0005,0.0015,0.025,1.0,0.004,,0.0025,0.0025,0.001,0.001,0.007,0.004,0.005,828.73,216.4,612.33,1623.25,322.0,361772.0,6976692.0,Unifrutti; pozo n° 1,2050,Pozo,1537.17,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-010,SNGM-CPO-276,26-08-2008,7.04,1.4,,,5.67,342.5,102.5,222.5,5.7,0.38,0,338.0,,1038.0,227.0,61.7,0.67,0.01,0.005,0.005,0.019,0.001,2.13,0.001,0.001,0.005,0.002,0.0015,0.025,1.761,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.008,0.004,0.019,1276.14,272.64,999.5,2288.93,284.0,356063.0,6979711.0,Fundo Toledo - Agrícola Toledo,2850,Pozo,2167.55,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
